Job ID,Batch,Subject,Color/Shape,Action,Context,Prompt VI,Target File,Status
"combo__sub-coc-su__cs-quai-cam-tron__act-khoi-nghi-ngut","ceramic-cup_level3","Cốc sứ trắng","Có quai tròn xinh","Đang bốc khói nghi ngút","","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, làn hơi nóng bốc lên nghi ngút thơm lừng","combo__sub-coc-su__cs-quai-cam-tron__act-khoi-nghi-ngut.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron__act-toa-huong-thom","ceramic-cup_level3","Cốc sứ trắng","Có quai tròn xinh","Tỏa hương thơm ngát","","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, đang tỏa hương trà thơm ngát ngập tràn","combo__sub-coc-su__cs-quai-cam-tron__act-toa-huong-thom.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron__act-chua-tra-nong","ceramic-cup_level3","Cốc sứ trắng","Có quai tròn xinh","Chứa đầy trà nóng","","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, đang chứa đầy trà nóng ấm áp","combo__sub-coc-su__cs-quai-cam-tron__act-chua-tra-nong.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-khoi-nghi-ngut__ctx-ban-go-soi","ceramic-cup_level4","Cốc sứ trắng","Sứ trắng men bóng","Đang bốc khói nghi ngút","Trên bàn gỗ sồi mộc","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, làn hơi nóng bốc lên nghi ngút thơm lừng, trên mặt bàn gỗ sồi thô mộc ấm áp","combo__sub-coc-su__cs-su-trang-men-bong__act-khoi-nghi-ngut__ctx-ban-go-soi.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-khoi-nghi-ngut__ctx-canh-so-tay","ceramic-cup_level4","Cốc sứ trắng","Sứ trắng men bóng","Đang bốc khói nghi ngút","Cạnh cuốn sổ tay mở","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, làn hơi nóng bốc lên nghi ngút thơm lừng, đặt cạnh một cuốn sổ tay đang mở trang giấy vẽ","combo__sub-coc-su__cs-su-trang-men-bong__act-khoi-nghi-ngut__ctx-canh-so-tay.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-khoi-nghi-ngut__ctx-bau-cua-so","ceramic-cup_level4","Cốc sứ trắng","Sứ trắng men bóng","Đang bốc khói nghi ngút","Bên bậu cửa sổ nắng","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, làn hơi nóng bốc lên nghi ngút thơm lừng, bên bậu cửa sổ gỗ đón ánh nắng ban mai","combo__sub-coc-su__cs-su-trang-men-bong__act-khoi-nghi-ngut__ctx-bau-cua-so.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-toa-huong-thom__ctx-ban-go-soi","ceramic-cup_level4","Cốc sứ trắng","Sứ trắng men bóng","Tỏa hương thơm ngát","Trên bàn gỗ sồi mộc","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, đang tỏa hương trà thơm ngát ngập tràn, trên mặt bàn gỗ sồi thô mộc ấm áp","combo__sub-coc-su__cs-su-trang-men-bong__act-toa-huong-thom__ctx-ban-go-soi.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-toa-huong-thom__ctx-canh-so-tay","ceramic-cup_level4","Cốc sứ trắng","Sứ trắng men bóng","Tỏa hương thơm ngát","Cạnh cuốn sổ tay mở","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, đang tỏa hương trà thơm ngát ngập tràn, đặt cạnh một cuốn sổ tay đang mở trang giấy vẽ","combo__sub-coc-su__cs-su-trang-men-bong__act-toa-huong-thom__ctx-canh-so-tay.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-toa-huong-thom__ctx-bau-cua-so","ceramic-cup_level4","Cốc sứ trắng","Sứ trắng men bóng","Tỏa hương thơm ngát","Bên bậu cửa sổ nắng","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, đang tỏa hương trà thơm ngát ngập tràn, bên bậu cửa sổ gỗ đón ánh nắng ban mai","combo__sub-coc-su__cs-su-trang-men-bong__act-toa-huong-thom__ctx-bau-cua-so.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-chua-tra-nong__ctx-ban-go-soi","ceramic-cup_level4","Cốc sứ trắng","Sứ trắng men bóng","Chứa đầy trà nóng","Trên bàn gỗ sồi mộc","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, đang chứa đầy trà nóng ấm áp, trên mặt bàn gỗ sồi thô mộc ấm áp","combo__sub-coc-su__cs-su-trang-men-bong__act-chua-tra-nong__ctx-ban-go-soi.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-chua-tra-nong__ctx-canh-so-tay","ceramic-cup_level4","Cốc sứ trắng","Sứ trắng men bóng","Chứa đầy trà nóng","Cạnh cuốn sổ tay mở","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, đang chứa đầy trà nóng ấm áp, đặt cạnh một cuốn sổ tay đang mở trang giấy vẽ","combo__sub-coc-su__cs-su-trang-men-bong__act-chua-tra-nong__ctx-canh-so-tay.webp","pending"
"combo__sub-coc-su__cs-su-trang-men-bong__act-chua-tra-nong__ctx-bau-cua-so","ceramic-cup_level4","Cốc sứ trắng","Sứ trắng men bóng","Chứa đầy trà nóng","Bên bậu cửa sổ nắng","Cái cốc sứ trắng tinh, chất liệu men sứ màu trắng sữa bóng bẩy mịn màng, đang chứa đầy trà nóng ấm áp, bên bậu cửa sổ gỗ đón ánh nắng ban mai","combo__sub-coc-su__cs-su-trang-men-bong__act-chua-tra-nong__ctx-bau-cua-so.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-khoi-nghi-ngut__ctx-ban-go-soi","ceramic-cup_level4","Cốc sứ trắng","Mẻ miệng một góc","Đang bốc khói nghi ngút","Trên bàn gỗ sồi mộc","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, làn hơi nóng bốc lên nghi ngút thơm lừng, trên mặt bàn gỗ sồi thô mộc ấm áp","combo__sub-coc-su__cs-me-mieng-goc__act-khoi-nghi-ngut__ctx-ban-go-soi.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-khoi-nghi-ngut__ctx-canh-so-tay","ceramic-cup_level4","Cốc sứ trắng","Mẻ miệng một góc","Đang bốc khói nghi ngút","Cạnh cuốn sổ tay mở","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, làn hơi nóng bốc lên nghi ngút thơm lừng, đặt cạnh một cuốn sổ tay đang mở trang giấy vẽ","combo__sub-coc-su__cs-me-mieng-goc__act-khoi-nghi-ngut__ctx-canh-so-tay.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-khoi-nghi-ngut__ctx-bau-cua-so","ceramic-cup_level4","Cốc sứ trắng","Mẻ miệng một góc","Đang bốc khói nghi ngút","Bên bậu cửa sổ nắng","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, làn hơi nóng bốc lên nghi ngút thơm lừng, bên bậu cửa sổ gỗ đón ánh nắng ban mai","combo__sub-coc-su__cs-me-mieng-goc__act-khoi-nghi-ngut__ctx-bau-cua-so.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-toa-huong-thom__ctx-ban-go-soi","ceramic-cup_level4","Cốc sứ trắng","Mẻ miệng một góc","Tỏa hương thơm ngát","Trên bàn gỗ sồi mộc","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, đang tỏa hương trà thơm ngát ngập tràn, trên mặt bàn gỗ sồi thô mộc ấm áp","combo__sub-coc-su__cs-me-mieng-goc__act-toa-huong-thom__ctx-ban-go-soi.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-toa-huong-thom__ctx-canh-so-tay","ceramic-cup_level4","Cốc sứ trắng","Mẻ miệng một góc","Tỏa hương thơm ngát","Cạnh cuốn sổ tay mở","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, đang tỏa hương trà thơm ngát ngập tràn, đặt cạnh một cuốn sổ tay đang mở trang giấy vẽ","combo__sub-coc-su__cs-me-mieng-goc__act-toa-huong-thom__ctx-canh-so-tay.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-toa-huong-thom__ctx-bau-cua-so","ceramic-cup_level4","Cốc sứ trắng","Mẻ miệng một góc","Tỏa hương thơm ngát","Bên bậu cửa sổ nắng","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, đang tỏa hương trà thơm ngát ngập tràn, bên bậu cửa sổ gỗ đón ánh nắng ban mai","combo__sub-coc-su__cs-me-mieng-goc__act-toa-huong-thom__ctx-bau-cua-so.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-chua-tra-nong__ctx-ban-go-soi","ceramic-cup_level4","Cốc sứ trắng","Mẻ miệng một góc","Chứa đầy trà nóng","Trên bàn gỗ sồi mộc","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, đang chứa đầy trà nóng ấm áp, trên mặt bàn gỗ sồi thô mộc ấm áp","combo__sub-coc-su__cs-me-mieng-goc__act-chua-tra-nong__ctx-ban-go-soi.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-chua-tra-nong__ctx-canh-so-tay","ceramic-cup_level4","Cốc sứ trắng","Mẻ miệng một góc","Chứa đầy trà nóng","Cạnh cuốn sổ tay mở","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, đang chứa đầy trà nóng ấm áp, đặt cạnh một cuốn sổ tay đang mở trang giấy vẽ","combo__sub-coc-su__cs-me-mieng-goc__act-chua-tra-nong__ctx-canh-so-tay.webp","pending"
"combo__sub-coc-su__cs-me-mieng-goc__act-chua-tra-nong__ctx-bau-cua-so","ceramic-cup_level4","Cốc sứ trắng","Mẻ miệng một góc","Chứa đầy trà nóng","Bên bậu cửa sổ nắng","Cái cốc sứ trắng tinh, vết mẻ nhỏ một góc miệng cốc mộc mạc, đang chứa đầy trà nóng ấm áp, bên bậu cửa sổ gỗ đón ánh nắng ban mai","combo__sub-coc-su__cs-me-mieng-goc__act-chua-tra-nong__ctx-bau-cua-so.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron__act-khoi-nghi-ngut__ctx-ban-go-soi","ceramic-cup_level4","Cốc sứ trắng","Có quai tròn xinh","Đang bốc khói nghi ngút","Trên bàn gỗ sồi mộc","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, làn hơi nóng bốc lên nghi ngút thơm lừng, trên mặt bàn gỗ sồi thô mộc ấm áp","combo__sub-coc-su__cs-quai-cam-tron__act-khoi-nghi-ngut__ctx-ban-go-soi.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron__act-khoi-nghi-ngut__ctx-canh-so-tay","ceramic-cup_level4","Cốc sứ trắng","Có quai tròn xinh","Đang bốc khói nghi ngút","Cạnh cuốn sổ tay mở","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, làn hơi nóng bốc lên nghi ngút thơm lừng, đặt cạnh một cuốn sổ tay đang mở trang giấy vẽ","combo__sub-coc-su__cs-quai-cam-tron__act-khoi-nghi-ngut__ctx-canh-so-tay.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron__act-khoi-nghi-ngut__ctx-bau-cua-so","ceramic-cup_level4","Cốc sứ trắng","Có quai tròn xinh","Đang bốc khói nghi ngút","Bên bậu cửa sổ nắng","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, làn hơi nóng bốc lên nghi ngút thơm lừng, bên bậu cửa sổ gỗ đón ánh nắng ban mai","combo__sub-coc-su__cs-quai-cam-tron__act-khoi-nghi-ngut__ctx-bau-cua-so.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron__act-toa-huong-thom__ctx-ban-go-soi","ceramic-cup_level4","Cốc sứ trắng","Có quai tròn xinh","Tỏa hương thơm ngát","Trên bàn gỗ sồi mộc","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, đang tỏa hương trà thơm ngát ngập tràn, trên mặt bàn gỗ sồi thô mộc ấm áp","combo__sub-coc-su__cs-quai-cam-tron__act-toa-huong-thom__ctx-ban-go-soi.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron__act-toa-huong-thom__ctx-canh-so-tay","ceramic-cup_level4","Cốc sứ trắng","Có quai tròn xinh","Tỏa hương thơm ngát","Cạnh cuốn sổ tay mở","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, đang tỏa hương trà thơm ngát ngập tràn, đặt cạnh một cuốn sổ tay đang mở trang giấy vẽ","combo__sub-coc-su__cs-quai-cam-tron__act-toa-huong-thom__ctx-canh-so-tay.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron__act-toa-huong-thom__ctx-bau-cua-so","ceramic-cup_level4","Cốc sứ trắng","Có quai tròn xinh","Tỏa hương thơm ngát","Bên bậu cửa sổ nắng","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, đang tỏa hương trà thơm ngát ngập tràn, bên bậu cửa sổ gỗ đón ánh nắng ban mai","combo__sub-coc-su__cs-quai-cam-tron__act-toa-huong-thom__ctx-bau-cua-so.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron__act-chua-tra-nong__ctx-ban-go-soi","ceramic-cup_level4","Cốc sứ trắng","Có quai tròn xinh","Chứa đầy trà nóng","Trên bàn gỗ sồi mộc","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, đang chứa đầy trà nóng ấm áp, trên mặt bàn gỗ sồi thô mộc ấm áp","combo__sub-coc-su__cs-quai-cam-tron__act-chua-tra-nong__ctx-ban-go-soi.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron__act-chua-tra-nong__ctx-canh-so-tay","ceramic-cup_level4","Cốc sứ trắng","Có quai tròn xinh","Chứa đầy trà nóng","Cạnh cuốn sổ tay mở","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, đang chứa đầy trà nóng ấm áp, đặt cạnh một cuốn sổ tay đang mở trang giấy vẽ","combo__sub-coc-su__cs-quai-cam-tron__act-chua-tra-nong__ctx-canh-so-tay.webp","pending"
"combo__sub-coc-su__cs-quai-cam-tron__act-chua-tra-nong__ctx-bau-cua-so","ceramic-cup_level4","Cốc sứ trắng","Có quai tròn xinh","Chứa đầy trà nóng","Bên bậu cửa sổ nắng","Cái cốc sứ trắng tinh, có quai cầm tròn xinh xắn, đang chứa đầy trà nóng ấm áp, bên bậu cửa sổ gỗ đón ánh nắng ban mai","combo__sub-coc-su__cs-quai-cam-tron__act-chua-tra-nong__ctx-bau-cua-so.webp","pending"
"combo__sub-xe-dap","bicycle_level1","Cái xe đạp","","","","Chiếc xe đạp mini (1 từ thử nghiệm, chưa có chìa khóa)","combo__sub-xe-dap.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh","bicycle_level2","Cái xe đạp","Khung thép xanh bóng","","","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy","combo__sub-xe-dap__cs-bike-khung-xanh.webp","pending"
"combo__sub-xe-dap__cs-bike-banh-nan-hoa","bicycle_level2","Cái xe đạp","Bánh nan hoa tròn","","","Chiếc xe đạp mini, hai bánh xe nan hoa tròn xoe quay đều","combo__sub-xe-dap__cs-bike-banh-nan-hoa.webp","pending"
"combo__sub-xe-dap__cs-bike-gio-may","bicycle_level2","Cái xe đạp","Giỏ mây trước xe","","","Chiếc xe đạp mini, giỏ đan bằng mây gắn trước đầu xe mộc mạc","combo__sub-xe-dap__cs-bike-gio-may.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-lan-banh","bicycle_level3","Cái xe đạp","Khung thép xanh bóng","Đang lăn bánh bon bon","","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang lăn bánh bon bon lướt êm trên đường","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-lan-banh.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-dung-chan-chong","bicycle_level3","Cái xe đạp","Khung thép xanh bóng","Đang dựng chân chống","","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang dựng chân chống nghiêng đứng yên nghỉ ngơi","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-dung-chan-chong.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-cho-gio-hoa","bicycle_level3","Cái xe đạp","Khung thép xanh bóng","Chở giỏ hoa rực rỡ","","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang chở giỏ hoa tươi rực rỡ sắc màu phía trước","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-cho-gio-hoa.webp","pending"
"combo__sub-xe-dap__cs-bike-banh-nan-hoa__act-bike-lan-banh","bicycle_level3","Cái xe đạp","Bánh nan hoa tròn","Đang lăn bánh bon bon","","Chiếc xe đạp mini, hai bánh xe nan hoa tròn xoe quay đều, đang lăn bánh bon bon lướt êm trên đường","combo__sub-xe-dap__cs-bike-banh-nan-hoa__act-bike-lan-banh.webp","pending"
"combo__sub-xe-dap__cs-bike-banh-nan-hoa__act-bike-dung-chan-chong","bicycle_level3","Cái xe đạp","Bánh nan hoa tròn","Đang dựng chân chống","","Chiếc xe đạp mini, hai bánh xe nan hoa tròn xoe quay đều, đang dựng chân chống nghiêng đứng yên nghỉ ngơi","combo__sub-xe-dap__cs-bike-banh-nan-hoa__act-bike-dung-chan-chong.webp","pending"
"combo__sub-xe-dap__cs-bike-banh-nan-hoa__act-bike-cho-gio-hoa","bicycle_level3","Cái xe đạp","Bánh nan hoa tròn","Chở giỏ hoa rực rỡ","","Chiếc xe đạp mini, hai bánh xe nan hoa tròn xoe quay đều, đang chở giỏ hoa tươi rực rỡ sắc màu phía trước","combo__sub-xe-dap__cs-bike-banh-nan-hoa__act-bike-cho-gio-hoa.webp","pending"
"combo__sub-xe-dap__cs-bike-gio-may__act-bike-lan-banh","bicycle_level3","Cái xe đạp","Giỏ mây trước xe","Đang lăn bánh bon bon","","Chiếc xe đạp mini, giỏ đan bằng mây gắn trước đầu xe mộc mạc, đang lăn bánh bon bon lướt êm trên đường","combo__sub-xe-dap__cs-bike-gio-may__act-bike-lan-banh.webp","pending"
"combo__sub-xe-dap__cs-bike-gio-may__act-bike-dung-chan-chong","bicycle_level3","Cái xe đạp","Giỏ mây trước xe","Đang dựng chân chống","","Chiếc xe đạp mini, giỏ đan bằng mây gắn trước đầu xe mộc mạc, đang dựng chân chống nghiêng đứng yên nghỉ ngơi","combo__sub-xe-dap__cs-bike-gio-may__act-bike-dung-chan-chong.webp","pending"
"combo__sub-xe-dap__cs-bike-gio-may__act-bike-cho-gio-hoa","bicycle_level3","Cái xe đạp","Giỏ mây trước xe","Chở giỏ hoa rực rỡ","","Chiếc xe đạp mini, giỏ đan bằng mây gắn trước đầu xe mộc mạc, đang chở giỏ hoa tươi rực rỡ sắc màu phía trước","combo__sub-xe-dap__cs-bike-gio-may__act-bike-cho-gio-hoa.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-lan-banh__ctx-bike-bo-ho","bicycle_level4","Cái xe đạp","Khung thép xanh bóng","Đang lăn bánh bon bon","Bên bờ hồ lộng gió","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang lăn bánh bon bon lướt êm trên đường, bên bờ hồ nước xanh biếc lộng gió mát rượi","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-lan-banh__ctx-bike-bo-ho.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-lan-banh__ctx-bike-bong-cay","bicycle_level4","Cái xe đạp","Khung thép xanh bóng","Đang lăn bánh bon bon","Dưới bóng cây râm mát","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang lăn bánh bon bon lướt êm trên đường, dưới bóng mát của tán cây cổ thụ sum sê","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-lan-banh__ctx-bike-bong-cay.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-lan-banh__ctx-bike-duong-lang","bicycle_level4","Cái xe đạp","Khung thép xanh bóng","Đang lăn bánh bon bon","Trên đường làng rải sỏi","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang lăn bánh bon bon lướt êm trên đường, trên con đường làng quanh co rải sỏi trắng","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-lan-banh__ctx-bike-duong-lang.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-dung-chan-chong__ctx-bike-bo-ho","bicycle_level4","Cái xe đạp","Khung thép xanh bóng","Đang dựng chân chống","Bên bờ hồ lộng gió","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang dựng chân chống nghiêng đứng yên nghỉ ngơi, bên bờ hồ nước xanh biếc lộng gió mát rượi","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-dung-chan-chong__ctx-bike-bo-ho.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-dung-chan-chong__ctx-bike-bong-cay","bicycle_level4","Cái xe đạp","Khung thép xanh bóng","Đang dựng chân chống","Dưới bóng cây râm mát","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang dựng chân chống nghiêng đứng yên nghỉ ngơi, dưới bóng mát của tán cây cổ thụ sum sê","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-dung-chan-chong__ctx-bike-bong-cay.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-dung-chan-chong__ctx-bike-duong-lang","bicycle_level4","Cái xe đạp","Khung thép xanh bóng","Đang dựng chân chống","Trên đường làng rải sỏi","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang dựng chân chống nghiêng đứng yên nghỉ ngơi, trên con đường làng quanh co rải sỏi trắng","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-dung-chan-chong__ctx-bike-duong-lang.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-cho-gio-hoa__ctx-bike-bo-ho","bicycle_level4","Cái xe đạp","Khung thép xanh bóng","Chở giỏ hoa rực rỡ","Bên bờ hồ lộng gió","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang chở giỏ hoa tươi rực rỡ sắc màu phía trước, bên bờ hồ nước xanh biếc lộng gió mát rượi","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-cho-gio-hoa__ctx-bike-bo-ho.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-cho-gio-hoa__ctx-bike-bong-cay","bicycle_level4","Cái xe đạp","Khung thép xanh bóng","Chở giỏ hoa rực rỡ","Dưới bóng cây râm mát","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang chở giỏ hoa tươi rực rỡ sắc màu phía trước, dưới bóng mát của tán cây cổ thụ sum sê","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-cho-gio-hoa__ctx-bike-bong-cay.webp","pending"
"combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-cho-gio-hoa__ctx-bike-duong-lang","bicycle_level4","Cái xe đạp","Khung thép xanh bóng","Chở giỏ hoa rực rỡ","Trên đường làng rải sỏi","Chiếc xe đạp mini, khung thép màu xanh dương bóng bẩy, đang chở giỏ hoa tươi rực rỡ sắc màu phía trước, trên con đường làng quanh co rải sỏi trắng","combo__sub-xe-dap__cs-bike-khung-xanh__act-bike-cho-gio-hoa__ctx-bike-duong-lang.webp","pending"
"combo__sub-xe-dap__cs-bike-banh-nan-hoa__act-bike-lan-banh__ctx-bike-bo-ho","bicycle_level4","Cái xe đạp","Bánh nan hoa tròn","Đang lăn bánh bon bon","Bên bờ hồ lộng gió","Chiếc xe đạp mini, hai bánh xe nan hoa tròn xoe quay đều, đang lăn bánh bon bon lướt êm trên đường, bên bờ hồ nước xanh biếc lộng gió mát rượi","combo__sub-xe-dap__cs-bike-banh-nan-hoa__act-bike-lan-banh__ctx-bike-bo-ho.webp","pending"
